Note: This spreadsheet contains only auto-generated dummy data.,,,,,,,,,
Grantor,Grantee,Doc. Date,Recording Info,Legal Description,Contract Acres,Seller's Represented Ownership %,Seller's Represented Net Acres,Internal Valuation Tier,Internal Valuation $
Crystal Byrd,Beyond Wealth Partners,8/23/1989,"Book 2134, Page 41","T. 153 No. - Rg 098 West
Sec32: NE¼NE¼
Sec.13: SW¼, N½NW¼
Section 22: NE¼NW¼NW¼
Section 1:  NE¼, Lot 9, SW¼SE¼

Tw 155 North - R 97 W
Sec 17: L. 13, S½",15914.17%,0.93,148.7370227,1,"$81,408.23 "
Claudia Hayes and Layton Hayes,Fast Sight Holding Company,11/19/1960,"Book 1217, Page 516","T  153No , Range 68 East
Sec. 6: South Half of the South Half, L  8 - 10 &  16, southwest quarter
Sec21: North West Quarter, East Half of the West Half, L  9 through 12 and 8 and 13, West Half of the southwest quarter
Sec. 30: northeast quarter of the Northwest Quarter of the southwest quarter, South West Quarter of the Southwest Quarter, South West Quarter
Section 24: West Half of the north west quarter, South Half of the North Half",87695.82%,0.4,351.4037829,2,"$109,609.87 "
Elaina Boyd et al,Quick Lake LP,11/22/1960,"Book 4959, Page 693","T154 No. , R. 100 W
Section 34: SW/4SW/4, W/2W/2E/2, L.  5 and 10 to 15, NE/4

Twp. 155  North , Rge. 99 W
Section 15: Lots  16 and 10 & 4 to 6, E/2NE/4
Sec.  6 and 7: S/2S/2
Sec. 7: S/2NE/4",102392.65%,0.68,696.0959486,2,"$217,126.25 "
Carlos Mendez and Luke Mendez,Hammered Equipment Corporation,12/20/1988,"Book 9131, Page 460","Tw. 155N- Rge. 100
Sec. 27:   NE1/4NW1/4, E1/2W1/2, SW1/4NW1/4, SE1/4SW1/4SW1/4

T 153 No , Range 99 East
Sec 21:  Lot2, SW1/4NE1/4, SE1/4NW1/4
Sec 24: NE1/4NE1/4, L. 1, SE1/4SE1/4
Sec 12: Lot 14, E1/2W1/2, S1/2S1/2
Sec 4: Lots 3  to 8, 13, NE1/4SE1/4, SE1/4, SW1/4NW1/4",82206.67%,0.33,272.1118436,3,"$20,770.30 "
Antonella West et al,Marina Mountain Holding Company,10/26/1999,"Book 539, Page 355","Twp. 155 N. - Range 98 
Sec. 11: N1/2S1/2, S1/2N1/2NW1/4

Twnship 154 No. , Rge. 099 
Section  28:NE1/4, NW1/4SW1/4, W1/2W1/2
Sec. 9: SE1/4SW1/4, NW1/4SE1/4, L 11
Sect 8:NW1/4SW1/4, SE1/4SE1/4, NE1/4NW1/4",126700.36%,0.48,603.0349801,2,"$188,098.67 "
"Devin Simmons, dealing in sole and separate property",Miller's Coast Holding Company,7/16/2009,"Book 2882, Page 959","Township 153 No - Rge 103 W
Sec.  21: West Half of the West Half of the East Half
Sec26: East Half of the East Half, southwest quarter of the northeast quarter, Southwest Quarter of the Northeast Quarter",37293.09%,0.78,289.8831358,2,"$90,420.35 "
Matthew Matthews and Johanna Matthews,Clear Flight Incorporated,11/20/1981,"Book 3837, Page 469","Lot 11 of Section 28, N2NW4NW4, S2N2 of Section 7, Lot 3, SE4SE4 of Sec10, N2NE4, E2NW4NE4 of Sec  1, Twp153   , Range 99 W",37672.70%,0.92,346.5876146,1,"$189,697.80 "
"Adelaide Ryan and Kade Ryan, as Trustees",Sixteen Matrix Holding Company,10/16/1996,Doc. #9844231,"Township 154No., Rge.98 
Sec. 2: West Half of the West Half, Southwest Quarter of the Southwest Quarter",66007.11%,0.39,257.1353195,1,"$140,737.87 "
Celine Watson et vir,Clear Flight Incorporated,7/26/1984,Doc. #6102584,"T.  154 No - Rg. 098 W
Sec. 36: Lots  4 and4, NW/4SE/4, SE/4NW/4, NE/4SW/4

T 154 N. - Rg. 101 W
Sec.14: SW/4SW/4, NE/4SW/4

Townshp 153 No- R. 98 W
Sec 24: SE/4SE/4, SW/4NE/4, Lot 10
Sec.25: S/2S/2SW/4, SW/4NE/4, NW/4NW/4
Sec.  14: L. 7, SW/4NE/4, NW/4SE/4",120861.57%,0.2,242.566123,2,"$75,661.23 "
"Amey Kennedy and Carson Kennedy, as Trustees",Striking Knapp Limited Liability Company,11/26/1958,Doc. #4253701,"north east quarter of the northwest quarter, southwest quarter of the southwest quarter, L 10 of Section 29, North West Quarter of the Northeast Quarter, south east quarter, southeast quarter of the North East Quarter of Sec20, T155 North - Range 097 W; south east quarter, North West Quarter of the southeast quarter, North Half of the South Half of Sec 28, East Half of Setion 16, northeast quarter of the northwest quarter of Sec.  15, Township 155  , Range  98  W",7312.67%,0.58,42.41073453,1,"$23,212.67 "
Gracelynn Gibson and Laylah Gibson,Fast Sight Holding Company,7/9/2000,"Book 7685, Page 639","Township 155  No  Rge.97  W
Sec. 1: SW4, SE4NW4, E2SE4, SW4
Sec 13: NE4NE4, SE4SW4

T 155 N - Rge 103 W.
Sec 25: SE4, SE4NW4SE4

Township 154 N. , Rge 100 West
Section 2: NW4NE4, SW4
Sections 11: NE4NW4, NE4SE4, E2E2",107963.89%,0.83,894.426675,3,"$68,271.59 "
Vera Porter et ux,Beyond Wealth Partners,11/13/1987,"Book 4754, Page 106","North East Quarter of Sec. 19, southeast quarter, south west quarter of Northwest Quarter, North Half of northeast quarter, north east quarter of south west quarter of Section 36, northwest quarter of Southwest Quarter of Northeast Quarter of Sec 27, L 2, north west quarter of northwest quarter of North West Quarter, Northeast Quarter of north west quarter, Northeast Quarter of Sec. 2, Tw. 153 No, R 101 W.",25707.10%,0.39,100.8609399,3,"$7,698.72 "
Lucy Rogers,Beyond Wealth Partners,8/13/2015,"Book 3387, Page 711","T 153 N., Rg. 100 W
Sec. 36: Northwest Quarter of the north east quarter, Southwest Quarter of the southwest quarter, south east quarter
Sec. 20: South Half of the Northeast Quarter, East Half of the West Half, L. 7
Sec. 32:  South West Quarter of the north east quarter, L.  12 and 7 to 12 and7 through 9, North Half of the Northeast Quarter, North Half
Sec. 2: Southeast Quarter of the Southwest Quarter, West Half of the East Half of the East Half, Northeast Quarter of the southeast quarter of the northwest quarter",73466.01%,0.44,319.7353171,3,"$24,405.40 "
Salvador Gilbert and Vance Gilbert,Hammered Equipment Corporation,12/7/1954,"Book 1122, Page 730","L 14, SW/4SE/4SE/4, NE/4 of Sec   12, Twp.155 N - Rge 101 West; N/2N/2, Lots  12 and 13 & 14 to 16, N/2NE/4 of Section 26, W/2SW/4, L.  11 and 9, S/2N/2 of Sec.  34, N/2S/2, NW/4SE/4NE/4, SE/4SE/4, NE/4 of Section 29, Twp. 154  N. , Range 100 W.; S/2S/2 of Section 2, Twp. 154 No. - R  97",93917.72%,0.33,312.5358149,3,"$23,855.86 "
Elisabeth Romero and Vance Romero,Deep Manufacturing Corp.,12/16/2013,"Book 4433, Page 818","south west quarter of the south east quarter of the north east quarter, Northeast Quarter of the south east quarter, southwest quarter of Seciton 18, East Half of the East Half, Southwest Quarter of the South East Quarter of the Southwest Quarter of Section 13, northwest quarter, L 15, North East Quarter of the North West Quarter of Sec. 3, Southeast Quarter, southwest quarter of the Northeast Quarter of the north west quarter of Section5, Township 155   - Rge. 103 W",34172.95%,0.34,115.7420989,2,"$36,102.28 "
Lyra Todd and Antonio Todd,Strategic Plains LP,4/2/1957,"Book 6800, Page 724","T. 154 North - Rge 97  West
Sec 14: E1/2E1/2
Sec23: NE1/4NE1/4, Lot 11, SE1/4NE1/4, SW1/4SW1/4

Tw. 154 N. , Rge. 100 West
Sec.20: SE1/4NE1/4, W1/2, N1/2N1/2, NE1/4SE1/4
Seciton 2: NW1/4, Lot 13, NW1/4NW1/4
Sec 6: N1/2NW1/4NE1/4",72891.45%,0.71,517.643216,1,"$283,321.66 "
Abigail Bates et ux,Miller's Coast Holding Company,11/2/2000,"Book 8392, Page 309","Township 153N - Range 97 West
Sec. 4: South Half of the Southeast Quarter, West Half of the southwest quarter
Sec 21: L. 2, North West Quarter, South Half of the southwest quarter of the Northwest Quarter",74788.45%,0.35,263.6680968,3,"$20,125.79 "
"Teresa O'Brien, dealing in sole and separate property",Clear Flight Incorporated,10/11/2001,"Book 6322, Page 204","L  2 & 14 of Section15, south west quarter of the Southeast Quarter, West Half of the northeast quarter of the Southwest Quarter, L. 15 of Section 6, Twp. 155 N - Rge. 98",48024.64%,0.85,410.0088468,2,"$127,889.96 "
"Callum Cook, as conservator for the Estate of Rayna Pena",Deep Manufacturing Corp.,10/15/1982,Doc. #4186977,"SE/4, SW/4, S/2S/2 of Sec 6, E/2 of Sec. 25, Lots  14 & 15, SW/4SE/4 of Sec.16, W/2 of Sect 12, Township154 No. ,  R100 W",90406.31%,0.23,211.168094,2,"$65,867.55 "
"Nora Rogers, as Trustee",Fast Sight Holding Company,12/14/1997,"Book 6228, Page 401","153  N, Rge. 97 West
Sec. 18:South East Quarter of the Southeast Quarter, Southwest Quarter of the north east quarter

Twp 154 North - R 097 W
Sec. 28: Southwest Quarter of the South West Quarter, southeast quarter of the northwest quarter of the South West Quarter, Northwest Quarter of the Northwest Quarter, south east quarter of the north east quarter of the north west quarter
Section10:  north east quarter, northwest quarter of the Southwest Quarter, South West Quarter of the southwest quarter
Sec. 11 - 17: ALL",10576.00%,0.8,84.80627771,2,"$26,452.77 "
Karri Norris et vir,Deep Manufacturing Corp.,12/18/1986,"Book 8558, Page 318","T.  154N - Rge. 099 West
Section 33: south west quarter, South West Quarter of the Northwest Quarter, L  14

Twp 153  No., Rane100 W.
Secton 30: South East Quarter

Township  154 No -  Rang  100 W
Sec. 23: North East Quarter of the Southeast Quarter, L 3, West Half of the southeast quarter",114818.29%,0.96,1097.79155,3,"$83,794.43 "
,,,,,,,,,"$3,656,141.11 "
